bairro,zona,regiao_adm,lat,lon,populacao,populacao_2010,fator_demanda
Abolicao,Norte,Meier,-22.88601,-43.29936,9196,11356,1.0
Acari,Norte,Pavuna,-22.82212,-43.34101,29673,27347,1.0
Agua Santa,Norte,Meier,-22.91115,-43.31157,6419,8756,1.0
Alto da Boa Vista,Norte,Tijuca,-22.96063,-43.26071,9831,9343,1.0
Anchieta,Norte,Anchieta,-22.82391,-43.39971,52095,55652,1.0
Andarai,Norte,Vila Isabel,-22.92894,-43.25351,34576,39365,1.0
Anil,Barra,Jacarepagua,-22.95699,-43.33823,31895,24172,1.0
Bancarios,Norte,Ilha Do Governador,-22.79237,-43.18115,11062,12512,1.0
Bangu,Oeste,Bangu,-22.85845,-43.48541,211912,218089,1.0
Barra Olimpica,Barra,Barra Da Tijuca,-22.97174,-43.38505,56547,23425,1.0
Barra da Tijuca,Barra,Barra Da Tijuca,-22.9995,-43.37222,142263,127159,1.0
Barra de Guaratiba,Oeste,Guaratiba,-23.0386,-43.55034,4755,3577,1.0
Barros Filho,Norte,Pavuna,-22.83493,-43.36429,20444,14049,1.0
Benfica,Centro,Sao Cristovao,-22.89233,-43.2403,21388,25081,1.0
Bento Ribeiro,Norte,Madureira,-22.8673,-43.36075,37306,43707,1.0
Bonsucesso,Norte,Ramos,-22.86593,-43.25377,16872,18711,1.0
Botafogo,Sul,Botafogo,-22.95232,-43.1861,77018,82890,1.0
Bras de Pina,Norte,Penha,-22.83112,-43.29737,45048,59222,1.0
Cachambi,Norte,Meier,-22.88987,-43.2743,38673,42415,1.0
Cacuia,Norte,Ilha Do Governador,-22.82207,-43.184,10392,11013,1.0
Caju,Centro,Portuaria,-22.87905,-43.22173,24116,20477,1.0
Camorim,Barra,Barra Da Tijuca,-22.96916,-43.43319,1383,1196,1.0
Campinho,Norte,Madureira,-22.88505,-43.3474,8579,10156,1.0
Campo Grande,Oeste,Campo Grande,-22.89175,-43.55287,352704,328370,1.0
Campo dos Afonsos,Oeste,Realengo,-22.87844,-43.38332,2106,1365,1.0
Cascadura,Norte,Madureira,-22.88503,-43.32995,26895,34456,1.0
Catete,Sul,Botafogo,-22.9266,-43.18013,22295,24057,1.0
Catumbi,Centro,Rio Comprido,-22.91952,-43.19728,12201,12556,1.0
Cavalcanti,Norte,Madureira,-22.87074,-43.31678,13799,16141,1.0
